estrogens	are	hormones
estrogens	regulate	menstrual cycle
estrogens	stimulate	endometrium
estrogens	promote	breast development
estrogens	inhibit	bone resorption
estrogens	increase	cholesterol synthesis
estrogens	modulate	libido
estrogens	influence	mood
estrogens	are	female sex hormones
estrogens	bind	estrogen receptors
estrogens	activate	ERα
estrogens	activate	ERβ
estrogens	activate	GPER
estrogens	are	synthesized	ovaries
estrogens	are	synthesized	placenta
estrogens	are	synthesized	adrenal glands
estrogens	are	synthesized	adipose tissue
estrogens	are	synthesized	liver
estrogens	are	synthesized	gut microbiota
estrogens	are	metabolized	liver
estrogens	are	metabolized	kidney
estrogens	are	metabolized	gut
estrogens	are	excreted	bile
estrogens	are	excreted	urine
estrogens	are	excreted	feces
estrogens	are	conjugated	glucuronide
estrogens	are	conjugated	sulfate
estrogens	are	deconjugated	gut bacteria
estrogens	are	transported	albumin
estrogens	are	transported	SHBG
estrogens	are	transported	lipoproteins
estrogens	are	regulated	aromatase
estrogens	are	regulated	17β-HSD
estrogens	are	regulated	5α-reductase
estrogens	are	regulated	CYP19A1
estrogens	are	regulated	CYP1A1
estrogens	are	regulated	CYP1B1
estrogens	are	regulated	CYP3A4
estrogens	are	regulated	CYP2D6
estrogens	are	regulated	CYP2C9
estrogens	are	regulated	CYP2C19
estrogens	are	regulated	CYP2E1
estrogens	are	regulated	CYP2A6
estrogens	are	regulated	CYP2B6
estrogens	are	regulated	CYP2C8
estrogens	are	regulated	CYP2C7
estrogens	are	regulated	CYP2C12
estrogens	are	regulated	CYP2C13
estrogens	are	regulated	CYP2C14
estrogens	are	regulated	CYP2C15
estrogens	are	regulated	CYP2C16
estrogens	are	regulated	CYP2C17
estrogens	are	regulated	CYP2C18
estrogens	are	regulated	CYP2C19
estrogens	are	regulated	CYP2C20
estrogens	are	regulated	CYP2C21
estrogens	are	regulated	CYP2C22
estrogens	are	regulated	CYP2C23
estrogens	are	regulated	CYP2C24
estrogens	are	regulated	CYP2C25
estrogens	are	regulated	CYP2C26
estrogens	are	regulated	CYP2C27
estrogens	are	regulated	CYP2C28
estrogens	are	regulated	CYP2C29
estrogens	are	regulated	CYP2C30
estrogens	are	regulated	CYP2C31
estrogens	are	regulated	CYP2C32
estrogens	are	regulated	CYP2C33
estrogens	are	regulated	CYP2C34
estrogens	are	regulated	CYP2C35
estrogens	are	regulated	CYP2C36
estrogens	are	regulated	CYP2C37
estrogens	are	regulated	CYP2C38
estrogens	are	regulated	CYP2C39
estrogens	are	regulated	CYP2C40
estrogens	are	regulated	CYP2C41
estrogens	are	regulated	CYP2C42
estrogens	are	regulated	CYP2C43
estrogens	are	regulated	CYP2C44
estrogens	are	regulated	CYP2C45
estrogens	are	regulated	CYP2C46
estrogens	are	regulated	CYP2C47
estrogens	are	regulated	CYP2C48
estrogens	are	regulated	CYP2C49
estrogens	are	regulated	CYP2C50
estrogens	are	regulated	CYP2C51
estrogens	are	regulated	CYP2C52
estrogens	are	regulated	CYP2C53
estrogens	are	regulated	CYP2C54
estrogens	are	regulated	CYP2C55
estrogens	are	regulated	CYP2C56
estrogens	are	regulated	CYP2C57
estrogens	are	regulated	CYP2C58
estrogens	are	regulated	CYP2C59
estrogens	are	regulated	CYP2C60
estrogens	are	regulated	CYP2C61
estrogens	are	regulated	CYP2C62
estrogens	are	regulated	CYP2C63
estrogens	are	regulated	CYP2C64
estrogens	are	regulated	CYP2C65
